train/learning_rate:0.0003;train/entropy_loss:-0.77775146253407;train/policy_gradient_loss:-0.016737396201642697;train/value_loss:0.07166447867639363;train/approx_kl:0.014957954175770283;train/clip_fraction:0.166748046875;train/loss:0.0032386723905801773;train/explained_variance:-0.1059805154800415;train/n_updates:10;train/clip_range:0.2
eval/mean_reward:0.011904761904761904;eval/std_reward:0.10845754260886069;eval/mean_ep_length:6.928571428571429;eval/std_ep_length:1.9072899889740984;eval/num_timesteps:5000
train/learning_rate:0.0003;train/entropy_loss:-0.7741583041846752;train/policy_gradient_loss:-0.015947387996129693;train/value_loss:0.05299988646584097;train/approx_kl:0.0179609265178442;train/clip_fraction:0.1623046875;train/loss:0.00045669078826904297;train/explained_variance:0.06962978839874268;train/n_updates:20;train/clip_range:0.2
train/learning_rate:0.0003;train/entropy_loss:-0.7844924023374915;train/policy_gradient_loss:-0.019708160529262386;train/value_loss:0.056301938003161925;train/approx_kl:0.018374869599938393;train/clip_fraction:0.185791015625;train/loss:-0.008830545470118523;train/explained_variance:0.14129090309143066;train/n_updates:30;train/clip_range:0.2
eval/mean_reward:0.05952380952380952;eval/std_reward:0.23660246326609274;eval/mean_ep_length:6.821428571428571;eval/std_ep_length:1.6914400337449456;eval/num_timesteps:10000
train/learning_rate:0.0003;train/entropy_loss:-0.72950474973768;train/policy_gradient_loss:-0.013674236110819037;train/value_loss:0.059207856142893436;train/approx_kl:0.013735747896134853;train/clip_fraction:0.15791015625;train/loss:0.000884227454662323;train/explained_variance:0.1485617756843567;train/n_updates:40;train/clip_range:0.2
train/learning_rate:0.0003;train/entropy_loss:-0.7068287993781268;train/policy_gradient_loss:-0.016158869354694617;train/value_loss:0.05920174127095379;train/approx_kl:0.01525962259620428;train/clip_fraction:0.16611328125;train/loss:0.0030461400747299194;train/explained_variance:0.18594729900360107;train/n_updates:50;train/clip_range:0.2
train/learning_rate:0.0003;train/entropy_loss:-0.6929570789448917;train/policy_gradient_loss:-0.010353695193043678;train/value_loss:0.08127139154821635;train/approx_kl:0.011540156789124012;train/clip_fraction:0.13427734375;train/loss:0.028422217816114426;train/explained_variance:0.129871666431427;train/n_updates:60;train/clip_range:0.2
eval/mean_reward:0.05952380952380952;eval/std_reward:0.23660246326609274;eval/mean_ep_length:6.285714285714286;eval/std_ep_length:1.8294640678379568;eval/num_timesteps:15000
train/learning_rate:0.0003;train/entropy_loss:-0.6790117497555912;train/policy_gradient_loss:-0.012937170820077882;train/value_loss:0.0780083418241702;train/approx_kl:0.013829514384269714;train/clip_fraction:0.138330078125;train/loss:0.020570794120430946;train/explained_variance:0.2060931921005249;train/n_updates:70;train/clip_range:0.2
